Id,Gender,How would you describe the area where your hometown is located?,What type of degree programme are you following?,What is your current GPA?,How many credits were taken into account for that GPA?,What is your primary career goal after completing your degree?,"If you are planning to secure employment within the home country, what sector do you prefer to work in?",What factors have most influenced your career goals?,Do you seek additional knowledge about your field of study apart from your current degree program?,"If yes, how do you gain additional knowledge about your field of study?",How often do you engage in the activities mentioned in the above question?,How relevant do you think the following skills you gained during your academics to your career goals? (Technical skills/Communication skills/Leadership skills/Teamwork skills),How prepared do you feel for your chosen career path?,Have you participated in any of the following career-related experiences?,Have you used career guidance services provided by the university?,"If yes, how satisfied are you with these services?",What challenges do you anticipate in achieving your career aspirations?
1,Female,Semi Urban,Industry Oriented Honors degree,3.55,84,Secure employment within the home country,Privat sector,Personal interests/passion;Job market trends and opportunities;Potential salary and benefits;,Yes,Do online courses;Explore online articles;,Monthly,Very relevant,Somewhat prepared,None;,Yes,Very satisfied,Insufficient skills or qualifications;Competition in the job market;Lack of guidance or mentoring;
2,Male,Semi Urban,Industry Oriented Honors degree,3.6,66,Secure employment within the home country,Privat sector,Personal interests/passion;Job market trends and opportunities;,Yes,Do online courses;,Monthly,Very relevant,Somewhat prepared,Internships;Volunteering or community service;,Yes,Very satisfied,Lack of job opportunities in the desired field;Financial constraints;Insufficient skills or qualifications;Competition in the job market;Lack of guidance or mentoring;
3,Female,Semi Urban,Industry Oriented Honors degree,3.4,75,Seek employment opportunities abroad,,Personal interests/passion;Potential salary and benefits,Yes,Explore online articles,Monthly,Very relevant,Neither prepared nor unprepared,None,No,,Lack of guidance or mentoring
4,Female,Urban,Industry Oriented Honors degree,3.68,84,Secure employment within the home country,Privat sector,Personal interests/passion;Job market trends and opportunities;Potential salary and benefits,Yes,Do online courses,Monthly,Somewhat relevant,Somewhat prepared,None,Yes,Somewhat satisfied,Insufficient skills or qualifications
5,Male,Semi Urban,Research Oriented Honors degree,3.9,75,"Pursue higher education (e.g., master's, PhD)",,Personal interests/passion;Job market trends and opportunities;Potential salary and benefits,No,,,Very relevant,Very prepared,Part-time or freelance work in a related field,Yes,Somewhat satisfied,Financial constraints
6,Male,Rural,Industry Oriented Honors degree,2.9,60,Secure employment within the home country,Privat sector,Job market trends and opportunities,Yes,Explore online articles;Refer resource books;Do online courses,Daily,Very relevant,Very prepared,Internships,Yes,Very satisfied,Lack of job opportunities in the desired field;Financial constraints
7,Male,Semi Urban,Research Oriented Honors degree,3.5,75,"Pursue higher education (e.g., master's, PhD)",,Personal interests/passion,Yes,Refer resource books;Explore online articles;Brainstorming with colleges;Do online courses,Weekly,Somewhat relevant,Somewhat prepared,None,No,,Financial constraints;Insufficient skills or qualifications
8,Female,Semi Urban,Industry Oriented Honors degree,3.3,70,Seek employment opportunities abroad,,Job market trends and opportunities;Personal interests/passion;Potential salary and benefits,Yes,Explore online articles;Do online courses,Weekly,Very relevant,Somewhat unprepared,None,No,,Lack of job opportunities in the desired field;Insufficient skills or qualifications;Competition in the job market;Lack of guidance or mentoring
9,Male,Urban,Research Oriented Honors degree,3.95,76,"Pursue higher education (e.g., master's, PhD)",,Personal interests/passion;Potential salary and benefits;Job market trends and opportunities;Freedom ,Yes,Refer resource books;Explore online articles;Do online courses;Brainstorming with colleges,Weekly,Very relevant,Somewhat prepared,Volunteering or community service,No,,Lack of guidance or mentoring
10,Female,Rural,General degree,2.9,81,Secure employment within the home country,Privat sector,Personal interests/passion;Job market trends and opportunities,Yes,Do online courses;Refer resource books,Weekly,Very relevant,Somewhat prepared,None,Yes,Somewhat satisfied,Financial constraints;Insufficient skills or qualifications
11,Male,Urban,Industry Oriented Honors degree,3.48,79,"Pursue higher education (e.g., master's, PhD)",,Potential salary and benefits;Advice from family;Personal interests/passion;Job market trends and opportunities,Yes,Explore online articles,Weekly,Very relevant,Neither prepared nor unprepared,None,No,,Lack of guidance or mentoring;Competition in the job market
12,Male,Rural,Research Oriented Honors degree,3.97,76,"Pursue higher education (e.g., master's, PhD)",,Personal interests/passion;Job market trends and opportunities;Potential salary and benefits,Yes,Brainstorming with colleges;Explore online articles,Weekly,Very relevant,Somewhat prepared,None,No,,Financial constraints
13,Male,Urban,Research Oriented Honors degree,3.2,90,Seek employment opportunities abroad,,Job market trends and opportunities,Yes,Refer resource books;Explore online articles;Do online courses,Weekly,Very relevant,Somewhat prepared,Career-related projects,Yes,Very satisfied,Lack of job opportunities in the desired field;Financial constraints;Competition in the job market
14,Male,Semi Urban,Research Oriented Honors degree,3.7,71,"Pursue higher education (e.g., master's, PhD)",,Personal interests/passion;Job market trends and opportunities,Yes,Explore online articles;Do online courses;Contacting resource people ,Weekly,Somewhat relevant,Somewhat prepared,Volunteering or community service;Part-time or freelance work in a related field,No,,Financial constraints;Lack of job opportunities in the desired field
